Element Id, Integration point, x, y, z, <VELOCITY_X>, <VELOCITY_Y>, <VELOCITY_Z>, <PRESSURE>, <PRESSURE'VELOCITY_X'>, <PRESSURE'VELOCITY_Y'>, <PRESSURE'VELOCITY_Z'>, <VELOCITY_X'VELOCITY_X'>, <VELOCITY_X'VELOCITY_Y'>, <VELOCITY_X'VELOCITY_Z'>, <VELOCITY_Y'VELOCITY_Y'>, <VELOCITY_Y'VELOCITY_Z'>, <VELOCITY_Z'VELOCITY_Z'>, <VELOCITY_X'VELOCITY_Y'>, 
9, 2, 0.866667, 0.0333333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
10, 0, 0.933333, 0.166667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
10, 1, 0.833333, 0.166667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
10, 2, 0.833333, 0.0666667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
11, 0, 0.166667, 0.233333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
11, 1, 0.166667, 0.333333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
11, 2, 0.0666667, 0.233333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
12, 0, 0.133333, 0.366667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
12, 1, 0.0333333, 0.366667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
12, 2, 0.0333333, 0.266667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
13, 0, 0.366667, 0.233333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
13, 1, 0.366667, 0.333333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
13, 2, 0.266667, 0.233333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
14, 0, 0.333333, 0.366667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
14, 1, 0.233333, 0.366667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
14, 2, 0.233333, 0.266667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
15, 0, 0.566667, 0.233333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
15, 1, 0.566667, 0.333333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
15, 2, 0.466667, 0.233333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
16, 0, 0.533333, 0.366667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
16, 1, 0.433333, 0.366667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
16, 2, 0.433333, 0.266667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
17, 0, 0.766667, 0.233333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
17, 1, 0.766667, 0.333333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
17, 2, 0.666667, 0.233333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
18, 0, 0.733333, 0.366667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
18, 1, 0.633333, 0.366667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
18, 2, 0.633333, 0.266667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
19, 0, 0.966667, 0.233333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
19, 1, 0.966667, 0.333333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
19, 2, 0.866667, 0.233333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
20, 0, 0.933333, 0.366667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
20, 1, 0.833333, 0.366667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
20, 2, 0.833333, 0.266667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
21, 0, 0.166667, 0.433333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
21, 1, 0.166667, 0.533333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
21, 2, 0.0666667, 0.433333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
22, 0, 0.133333, 0.566667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
22, 1, 0.0333333, 0.566667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
22, 2, 0.0333333, 0.466667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
23, 0, 0.366667, 0.433333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
23, 1, 0.366667, 0.533333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
23, 2, 0.266667, 0.433333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
24, 0, 0.333333, 0.566667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
24, 1, 0.233333, 0.566667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
24, 2, 0.233333, 0.466667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
25, 0, 0.566667, 0.433333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
25, 1, 0.566667, 0.533333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
25, 2, 0.466667, 0.433333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
26, 0, 0.533333, 0.566667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
26, 1, 0.433333, 0.566667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
26, 2, 0.433333, 0.466667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
27, 0, 0.766667, 0.433333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
27, 1, 0.766667, 0.533333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
27, 2, 0.666667, 0.433333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
28, 0, 0.733333, 0.566667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
28, 1, 0.633333, 0.566667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
28, 2, 0.633333, 0.466667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
29, 0, 0.966667, 0.433333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
29, 1, 0.966667, 0.533333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
29, 2, 0.866667, 0.433333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
30, 0, 0.933333, 0.566667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
30, 1, 0.833333, 0.566667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
30, 2, 0.833333, 0.466667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
31, 0, 0.166667, 0.633333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
31, 1, 0.166667, 0.733333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
31, 2, 0.0666667, 0.633333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
32, 0, 0.133333, 0.766667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
32, 1, 0.0333333, 0.766667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
32, 2, 0.0333333, 0.666667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
33, 0, 0.366667, 0.633333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
33, 1, 0.366667, 0.733333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
33, 2, 0.266667, 0.633333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
34, 0, 0.333333, 0.766667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
34, 1, 0.233333, 0.766667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
34, 2, 0.233333, 0.666667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
35, 0, 0.566667, 0.633333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
35, 1, 0.566667, 0.733333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
35, 2, 0.466667, 0.633333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
36, 0, 0.533333, 0.766667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
36, 1, 0.433333, 0.766667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
36, 2, 0.433333, 0.666667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
37, 0, 0.766667, 0.633333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
37, 1, 0.766667, 0.733333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
37, 2, 0.666667, 0.633333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
38, 0, 0.733333, 0.766667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
38, 1, 0.633333, 0.766667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
38, 2, 0.633333, 0.666667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
39, 0, 0.966667, 0.633333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
39, 1, 0.966667, 0.733333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
39, 2, 0.866667, 0.633333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
40, 0, 0.933333, 0.766667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
40, 1, 0.833333, 0.766667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
40, 2, 0.833333, 0.666667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
41, 0, 0.166667, 0.833333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
41, 1, 0.166667, 0.933333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
41, 2, 0.0666667, 0.833333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
42, 0, 0.133333, 0.966667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
42, 1, 0.0333333, 0.966667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
42, 2, 0.0333333, 0.866667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
43, 0, 0.366667, 0.833333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
43, 1, 0.366667, 0.933333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
43, 2, 0.266667, 0.833333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
44, 0, 0.333333, 0.966667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
44, 1, 0.233333, 0.966667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
44, 2, 0.233333, 0.866667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
45, 0, 0.566667, 0.833333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
45, 1, 0.566667, 0.933333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
45, 2, 0.466667, 0.833333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
46, 0, 0.533333, 0.966667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
46, 1, 0.433333, 0.966667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
46, 2, 0.433333, 0.866667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
47, 0, 0.766667, 0.833333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
47, 1, 0.766667, 0.933333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
47, 2, 0.666667, 0.833333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
48, 0, 0.733333, 0.966667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
48, 1, 0.633333, 0.966667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
48, 2, 0.633333, 0.866667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
49, 0, 0.966667, 0.833333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
49, 1, 0.966667, 0.933333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
49, 2, 0.866667, 0.833333, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
50, 0, 0.933333, 0.966667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
50, 1, 0.833333, 0.966667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
50, 2, 0.833333, 0.866667, 0, 3, -1.2, 0.6, 2.6, 0.55, -0.22, 0.11, 2.75, -1.1, 0.55, 0.44, -0.22, 0.11, -1.1
